Test Name,Section #,Section Name,Test ID,Function Block,Test Type,Category,Method,IUT,Test Purpose / Requirement,Initial Conditions,Test Steps,Example Test Input,Example Test Output,Success Criteria,Warning Criteria,Failure Criteria,Result,Comments,Include Test (tb deleted),DMD Test,CMD Test,,New IDs
UsagePoint status,REQ.21.4,,D005,FB_99,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:UsagePoint] 
TEST:atom:content/espi:UsagePoint/espi:status",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry/atom:content/espi:UsagePoint/espi:status,,,,X,,,
UsagePoint,REQ.21.4,,D006,FB_01,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed
TEST:atom:entry[*/espi:UsagePoint] ",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:UsagePoint],,,X,X,X,,
UsagePoint related LocalTimeParameters,REQ.21.4,,D007,FB_01,Positive,Data Element,Test,Both,verify that UsagePoint points to at most one LocalTimeParameters,,"CONTEXT:/atom:feed/atom:entry[*/espi:UsagePoint]
TEST:count(/atom:feed/atom:entry[*/espi:LocalTimeParameters]/atom:link[@rel='self' and @href=current()/atom:link[@rel='related']/@href])=1",1hrLP_32Days.xml,,,,Duplicate:espi:LocalTimeParameters[1],,,X,X,X,,
UsagePoint ServiceCategory,REQ.21.4,,D008,FB_01,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:UsagePoint] 
TEST:atom:content/espi:UsagePoint/espi:ServiceCategory/espi:kind",1hrLP_32Days.xml,0 = electricity,,,RemoveEntry:atom:feed/atom:entry/atom:content/espi:UsagePoint/espi:ServiceCategory/espi:kind,,,X,X,X,,
UsagePoint published,REQ.21.4,,D009,FB_01,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:UsagePoint]
TEST:atom:published",1hrLP_32Days.xml,UsagePoint.createDate,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:UsagePoint]/atom:published,,,X,X,X,,
UsagePoint updated,REQ.21.4,,D010,FB_01,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:UsagePoint]
TEST:atom:updated",1hrLP_32Days.xml,UsagePoint.modifyDate,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:UsagePoint]/atom:updated,,,X,X,X,,
UsagePoint id,REQ.21.4,,D011,FB_01,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:UsagePoint]
TEST:atom:id",1hrLP_32Days.xml,UUID(UsagePoint),,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:UsagePoint]/atom:id,,,X,X,X,,
UsagePoint title,REQ.21.4,,D012,FB_01,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:UsagePoint]
TEST:atom:title",1hrLP_32Days.xml,Name of the usage point (human readable),,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:UsagePoint]/atom:title,,,X,X,X,,
UsagePoint self link,REQ.21.4,,D013,FB_01,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:UsagePoint]
TEST:atom:link[@rel='self']/@href",1hrLP_32Days.xml,"HREF(""UsagePoint"",UsagePoint)",,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:UsagePoint]/atom:link[@rel='self'],,,X,X,X,,
UsagePoint self link,REQ.21.4,,D014,FB_01,Positive,Data Element,Test,Both,verify that link is unique,,"CONTEXT:/atom:feed/atom:entry[*/espi:UsagePoint]
TEST:count(/atom:feed/atom:entry[*/espi:UsagePoint]/atom:link[@rel='self' and @href=current()/atom:link[@rel='self']/@href])=1",1hrLP_32Days.xml,,,,Duplicate:espi:UsagePoint[1],,,X,X,X,,
UsagePoint up link,REQ.21.4,,D015,FB_01,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:UsagePoint]
TEST:atom:link[@rel='up']/@href",1hrLP_32Days.xml,"HREF(""UsagePointList"",CustomerId)",,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:UsagePoint]/atom:link[@rel='up'],,,X,X,X,,
UsagePoint related MeterReadingList,REQ.21.4,,D016,FB_01,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:UsagePoint]
TEST:atom:link[@rel='related']/@href",1hrLP_32Days.xml,"HREF(""MeterReadings"",UsagePoint)",,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:UsagePoint]/atom:link[@rel='related'],,,X,X,X,,
UsagePoint roleFlags,REQ.21.4,,D017,FB_99,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:UsagePoint] 
TEST:atom:content/espi:UsagePoint/espi:roleFlags",1hrLP_32Days.xml,12 = revenue quality / premises aggregation point,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:UsagePoint]/atom:content/espi:UsagePoint/espi:roleFlags,,,,X,,,
MeterReading id,REQ.21.4,,D018,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:MeterReading]
TEST:atom:id",1hrLP_32Days.xml,UUID(ReadingChannelId),,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:MeterReading]/atom:id,,,X,X,,,
MeterReading title,REQ.21.4,,D019,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:MeterReading]
TEST:atom:title",1hrLP_32Days.xml,Name of the reading channel (human readable),,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:MeterReading]/atom:title,,,X,X,,,
MeterReading self link,REQ.21.4,,D020,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:MeterReading]
TEST:atom:link[@rel='self']/@href",1hrLP_32Days.xml,"HREF(""MeterReading"",ReadingChannelId)",,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:MeterReading]/atom:link[@rel='self'],,,X,X,,,
MeterReading self link,REQ.21.4,,D021,FB_04,Positive,Data Element,Test,Both,verify that link is unique,,"CONTEXT:/atom:feed/atom:entry[*/espi:MeterReading]
TEST:count(/atom:feed/atom:entry[*/espi:MeterReading]/atom:link[@rel='self' and @href=current()/atom:link[@rel='self']/@href])=1",1hrLP_32Days.xml,,,,Duplicate:espi:MeterReading[1],,,X,X,,,
MeterReading up link,REQ.21.4,,D022,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:MeterReading]
TEST:atom:link[@rel='up']/@href",1hrLP_32Days.xml,"HREF(""MeterReadingList"",ReadingChannelId)",,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:MeterReading]/atom:link[@rel='up'],,,X,X,,,
Meter reading up link,REQ.21.4,,D023,FB_04,Positive,Data Element,Test,Both,verify correct up link,,"CONTEXT:/atom:feed/atom:entry[*/espi:MeterReading]
TEST:count(/atom:feed/atom:entry[*/espi:UsagePoint]/atom:link[@rel='related' and @href=current()/atom:link[@rel='up']/@href])=1",1hrLP_32Days.xml,,,,BreakUplink:MeterReading,,,X,X,,,
MeterReading related (ReadingType),REQ.21.4,,D024,FB_04,Positive,Data Element,Test,Both,verify that each MeterReading has one and only one associated ReadingType,,"CONTEXT:/atom:feed/atom:entry[*/espi:MeterReading]
TEST:count(/atom:feed/atom:entry[*/espi:ReadingType]/atom:link[@rel='self' and @href=current()/atom:link[@rel='related']/@href])=1",1hrLP_32Days.xml,,,,Duplicate:espi:ReadingType[1],,,X,X,,,
MeterReading related (IntervalBlockList),REQ.21.4,,D025,FB_04,Positive,Data Element,Test,Both,verify that each MeterReading has associated metering data,,"CONTEXT:/atom:feed/atom:entry[*/espi:MeterReading]
TEST:count(/atom:feed/atom:entry[*/espi:IntervalBlock]/atom:link[@rel='up' and @href=current()/atom:link[@rel='related']/@href])>0",1hrLP_32Days.xml,"HREF(""IntervalBlockList"",ReadingChannelId)",,,RemoveEntry:atom:entry[atom:content/espi:IntervalBlock],,,X,X,,,
MeterReading,REQ.21.4,,D026,FB_04,Positive,Data Element,Test,Both,"verify that ""load profile"" meter readings (accumulationBehavour=4) have any associated interval blocks",,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType[espi:accumulationBehaviour=4]]
TEST:count(/atom:feed/atom:entry[*/espi:IntervalBlock]/atom:link[@rel = 'up' and @href = /atom:feed/atom:entry[*/espi:MeterReading][atom:link[@rel='related' and @href = current()/atom:link[@rel='self']/@href]]/atom:link[@rel='related']/@href])>0",1hrLP_32Days.xml,,,,RemoveEntry:atom:entry[atom:content/espi:IntervalBlock],,,X,X,,,
MeterReading,REQ.21.4,,D027,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed
TEST:atom:entry[*/espi:MeterReading] ",1hrLP_32Days.xml,(empty tag),,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:MeterReading],,,X,X,,,
MeterReading (this test row is temporary for testing),REQ.21.4,,D028,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:MeterReading] 
TEST:atom:content/espi:MeterReading",1hrLP_32Days.xml,(empty tag),,,RemoveEntry:atom:feed/atom:entry[*/espi:MeterReading],,,X,X,,,
MeterReading published,REQ.21.4,,D029,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:MeterReading]
TEST:atom:published",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:MeterReading]/atom:published,,,X,X,,,
MeterReading updated,REQ.21.4,,D030,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:MeterReading]
TEST:atom:updated",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:MeterReading]/atom:updated,,,X,X,,,
IntervalBlock id,REQ.21.4,,D031,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:IntervalBlock]
TEST:atom:id",1hrLP_32Days.xml,"UUID(ReadingChannelID,CreateDate)",,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:IntervalBlock]/atom:id,,,X,X,,,
IntervalBlock,REQ.21.4,,D032,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed
TEST:atom:entry[*/espi:IntervalBlock] ",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:IntervalBlock],,,X,X,,,
IntervalBlock title,REQ.21.4,,D033,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:IntervalBlock]
TEST:atom:title",1hrLP_32Days.xml,Name of the interval block  (human readable),,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:IntervalBlock]/atom:title,,,X,X,,,
IntervalBlock self link,REQ.21.4,,D034,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:IntervalBlock]
TEST:atom:link[@rel='self']/@href",1hrLP_32Days.xml,"HREF(""IntervalBlock"",ReadingChannelId.CreateDate)",,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:IntervalBlock]/atom:link[@rel='self'],,,X,X,,,
IntervalBlock self link unique,REQ.21.4,,D035,FB_04,Positive,Data Element,Test,Both,verify that link is unique,,"CONTEXT:/atom:feed/atom:entry[*/espi:IntervalBlock]
TEST:count(/atom:feed/atom:entry[*/espi:IntervalBlock]/atom:link[@rel='self' and @href=current()/atom:link[@rel='self']/@href])=1",1hrLP_32Days.xml,,,,Duplicate:espi:IntervalBlock[1],,,X,X,,,
IntervalBlock up link,REQ.21.4,,D036,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:IntervalBlock]
TEST:atom:link[@rel='up']/@href",1hrLP_32Days.xml,"HREF(""MeterReading"",ReadingChannelId)",,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:IntervalBlock]/atom:link[@rel='up'],,,X,X,,,
IntervalBlock up link,REQ.21.4,,D037,FB_04,Positive,Data Element,Test,Both,verify that each IntervalBlock points to a single MeterReading,,"CONTEXT:/atom:feed/atom:entry[*/espi:IntervalBlock]
TEST:count(/atom:feed/atom:entry[*/espi:MeterReading]/atom:link[@rel='related' and @href=current()/atom:link[@rel='up']/@href])=1",1hrLP_32Days.xml,,,,Duplicate:espi:MeterReading[1],,,X,X,,,
IntervalBlock interval duration,REQ.21.4,,D038,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:IntervalBlock]
TEST:atom:content/espi:IntervalBlock/espi:interval/espi:duration",1hrLP_32Days.xml,86400 = 24 hours,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:IntervalBlock]/atom:content/espi:IntervalBlock/espi:interval/espi:duration,,,X,X,,,
IntervalBlock interval start,REQ.21.4,,D039,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:IntervalBlock] 
TEST:atom:content/espi:IntervalBlock/espi:interval/espi:start",1hrLP_32Days.xml,Block start datetime (UTC),,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:IntervalBlock]/atom:content/espi:IntervalBlock/espi:interval/espi:start,,,X,X,,,
IntervalBlock published,REQ.21.4,,D040,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:IntervalBlock]
TEST:atom:published",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:IntervalBlock]/atom:published,,,X,X,,,
IntervalBlock updated,REQ.21.4,,D041,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:IntervalBlock]
TEST:atom:updated",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:IntervalBlock]/atom:updated,,,X,X,,,
first interval in block,REQ.21.4,,D042,FB_04,Positive,Data Element,Test,,verify that first interval in block start time matches the start time of the block,,"CONTEXT:/atom:feed/atom:entry[*/espi:IntervalBlock] 
TEST:atom:content/espi:IntervalBlock/espi:interval/espi:start=atom:content/espi:IntervalBlock/espi:IntervalReading/espi:timePeriod/espi:start",1hrLP_32Days.xml,Block start datetime (UTC),,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:IntervalBlock]/atom:content/espi:IntervalBlock/espi:interval/espi:start,,,X,X,,,
IntervalReading cost,REQ.21.4,,D043,FB_12,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:IntervalBlock]
TEST:atom:content/espi:IntervalBlock/espi:IntervalReading/espi:cost",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:IntervalBlock]/atom:content/espi:IntervalBlock/espi:IntervalReading/espi:cost,,,X,X,,,
IntervalReading timePeriod duration,REQ.21.4,,D044,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:IntervalBlock] 
TEST:atom:content/espi:IntervalBlock/espi:IntervalReading/espi:timePeriod/espi:duration",1hrLP_32Days.xml,3600 = one hour,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:IntervalBlock]/atom:content/espi:IntervalBlock/espi:IntervalReading/espi:timePeriod/espi:duration,,,X,X,,,
IntervalReading timePeriod start,REQ.21.4,,D045,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:IntervalBlock] 
TEST:atom:content/espi:IntervalBlock/espi:IntervalReading/espi:timePeriod/espi:start",1hrLP_32Days.xml,Reading start datetime (UTC),,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:IntervalBlock]/atom:content/espi:IntervalBlock/espi:IntervalReading/espi:timePeriod/espi:start,,,X,X,,,
IntervalReading value,REQ.21.4,,D046,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:IntervalBlock] 
TEST:atom:content/espi:IntervalBlock/espi:IntervalReading/espi:value",1hrLP_32Days.xml,Reading value,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:IntervalBlock]/atom:content/espi:IntervalBlock/espi:IntervalReading/espi:value,,,X,X,,,
IntervalReading ReadingQuality,REQ.21.4,,D047,FB_99,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:IntervalBlock] 
TEST:atom:content/espi:IntervalBlock/espi:IntervalReading/espi:ReadingQuality/espi:quality",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:IntervalBlock]/atom:content/espi:IntervalBlock/espi:IntervalReading/espi:ReadingQuality/espi:quality,,,,X,,,
ReadingType id,REQ.21.4,,D048,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType]
TEST:atom:id",1hrLP_32Days.xml,UUID(ReadingChannelType),,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:id,,,X,X,,,
ReadingType,REQ.21.4,,D049,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed
TEST:atom:entry[*/espi:ReadingType] ",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType],,,X,X,,,
ReadingType title,REQ.21.4,,D050,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType]
TEST:atom:title",1hrLP_32Days.xml,Name of the reading type (human readable),,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:title,,,X,X,,,
ReadingType self link,REQ.21.4,,D051,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType]
TEST:atom:link[@rel='self']",1hrLP_32Days.xml,"HREF(""ReadingType"",ReadingChannelType)",,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:link[@rel='self'],,,X,X,,,
ReadingType self link,REQ.21.4,,D052,FB_04,Positive,Data Element,Test,Both,verify that link is unique,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType]
TEST:count(/atom:feed/atom:entry[*/espi:ReadingType]/atom:link[@rel='self' and @href=current()/atom:link[@rel='self']/@href])=1",1hrLP_32Days.xml,,,,Duplicate:espi:ReadingType[1],,,X,X,,,
ReadingType up link,REQ.21.4,,D053,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType]
TEST:atom:link[@rel='up']",1hrLP_32Days.xml,"HREF(""ReadingTypeList"")",,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:link[@rel='up'],,,X,X,,,
ReadingType up link,REQ.21.4,,D054,FB_04,Positive,Data Element,Test,Both,verify that each ReadingType points to at least one MeterReading,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType]
TEST:count(/atom:feed/atom:entry[*/espi:MeterReading]/atom:link[@rel='related' and @href=current()/atom:link[@rel='self']/@href])>0",1hrLP_32Days.xml,,,,RemoveEntry:atom:entry[atom:content/espi:MeterReading],,,X,X,,,
